,Date,AvgWellScore
0,2021-01-11,27.05882353
1,2021-01-12,25.41666667
2,2021-02-11,24.625
3,2021-02-12,25.90909091
4,2021-03-11,24.4
5,2021-03-12,29.125
6,2021-04-11,26.29411765
7,2021-04-12,24.66666667
8,2021-05-11,25.29411765
9,2021-05-12,32.0
10,2021-06-11,25.3125
11,2021-06-12,32.66666667
12,2021-07-11,24.71428571
13,2021-07-12,27.77777778
14,2021-08-11,28.13333333
15,2021-08-12,28.85714286
16,2021-09-11,27.35294118
17,2021-09-12,26.66666667
18,2021-10-11,25.11764706
19,2021-10-12,31.0
20,2021-10-14,25.16666667
21,2021-10-15,26.625
22,2021-10-16,22.28571429
23,2021-10-17,26.125
24,2021-10-18,28.11111111
25,2021-10-19,19.63636364
26,2021-10-20,23.38461538
27,2021-10-21,26.46153846
28,2021-10-22,25.84615385
29,2021-10-23,21.9
30,2021-10-24,25.0
31,2021-10-25,31.0
32,2021-10-26,27.72727273
33,2021-10-27,26.63636364
34,2021-10-28,25.88235294
35,2021-10-29,26.83333333
36,2021-10-30,25.28571429
37,2021-10-31,26.91666667
38,2021-11-11,28.46666667
39,2021-11-12,25.85714286
40,2021-11-13,25.26666667
41,2021-11-14,24.375
42,2021-11-15,27.3125
43,2021-11-16,26.71428571
44,2021-11-17,25.66666667
45,2021-11-18,23.8
46,2021-11-19,27.14285714
47,2021-11-20,24.7
48,2021-11-21,29.0
49,2021-11-22,27.33333333
50,2021-11-23,27.625
51,2021-11-24,26.25
52,2021-11-25,26.8
53,2021-11-26,28.14285714
54,2021-11-27,30.6
55,2021-11-28,24.45454545
56,2021-11-29,28.0
57,2021-11-30,25.8
58,2021-12-11,25.23529412
59,2021-12-12,28.28571429
60,2021-12-13,27.6
61,2021-12-14,26.94444444
62,2021-12-15,24.33333333
63,2021-12-16,23.66666667
64,2021-12-17,27.91666667
65,2021-12-18,25.72727273
66,2021-12-19,26.66666667
67,2021-12-20,29.78571429
68,2021-12-21,28.41666667
69,2021-12-22,27.36363636
70,2021-12-23,26.92307692
71,2021-12-24,22.375
72,2021-12-25,26.45454545
73,2021-12-26,27.63636364
74,2021-12-27,27.2
75,2021-12-28,25.5
76,2021-12-29,26.0
77,2021-12-30,27.70588235
78,2021-12-31,26.78571429
79,2022-01-01,24.36363636
80,2022-01-02,25.57142857
81,2022-01-03,30.69230769
82,2022-01-04,27.35714286
83,2022-01-06,29.0
84,2022-01-13,26.6875
85,2022-01-14,26.35714286
86,2022-01-15,22.90909091
87,2022-01-16,16.5
88,2022-01-17,26.46153846
89,2022-01-18,27.25
90,2022-01-19,25.42857143
91,2022-01-20,28.88235294
92,2022-01-21,29.63636364
93,2022-01-22,27.54545455
94,2022-01-23,25.75
95,2022-01-24,24.61538462
96,2022-01-25,26.0
97,2022-01-26,27.14285714
98,2022-01-27,29.625
99,2022-01-28,29.42857143
100,2022-01-29,22.42857143
101,2022-01-30,24.375
102,2022-01-31,19.66666667
103,2022-02-01,25.28571429
104,2022-02-02,25.5
105,2022-02-03,26.1
106,2022-02-04,25.77777778
107,2022-02-13,25.66666667
108,2022-02-14,30.0
109,2022-02-15,29.0
110,2022-02-16,23.27272727
111,2022-02-17,25.75
112,2022-02-18,26.0
113,2022-02-19,26.14285714
114,2022-02-20,26.85714286
115,2022-02-21,28.125
116,2022-02-22,28.07142857
117,2022-02-23,24.22222222
118,2022-02-24,26.5
119,2022-02-25,26.75
120,2022-02-26,24.57142857
121,2022-02-27,23.66666667
122,2022-02-28,26.2
123,2022-03-01,27.125
124,2022-03-02,26.83333333
125,2022-03-03,28.15384615
126,2022-03-04,25.8
127,2022-03-05,18.0
128,2022-03-13,24.6
129,2022-03-14,22.55555556
130,2022-03-15,23.5
131,2022-03-16,27.23076923
132,2022-03-17,29.17647059
133,2022-03-18,27.0
134,2022-03-19,24.6
135,2022-03-20,27.66666667
136,2022-03-21,28.9375
137,2022-03-22,28.76470588
138,2022-03-23,25.2
139,2022-03-24,27.26666667
140,2022-03-25,27.3125
141,2022-03-26,25.375
142,2022-03-27,27.4
143,2022-03-28,28.78571429
144,2022-03-29,26.9375
145,2022-03-30,23.8
146,2022-03-31,27.0
147,2022-04-01,25.78947368
148,2022-04-02,28.22222222
149,2022-04-03,26.8
150,2022-04-04,29.08333333
151,2022-04-05,26.0
152,2022-04-13,23.41666667
153,2022-04-14,26.64285714
154,2022-04-15,27.91666667
155,2022-04-16,26.0
156,2022-04-17,25.81818182
157,2022-04-18,29.6
158,2022-04-19,27.28571429
159,2022-04-20,26.30769231
160,2022-04-21,29.23076923
161,2022-04-22,26.93333333
162,2022-04-23,30.33333333
163,2022-04-24,29.66666667
164,2022-04-25,30.0
165,2022-04-26,30.66666667
166,2022-04-27,30.66666667
167,2022-04-28,28.0
168,2022-04-29,25.0
169,2022-04-30,27.0
170,2022-05-01,21.75
171,2022-05-02,23.5
172,2022-05-03,25.3
173,2022-05-04,28.09090909
174,2022-05-05,26.5
175,2022-05-13,28.33333333
176,2022-05-14,22.0
177,2022-05-15,25.4
178,2022-05-16,28.375
179,2022-05-17,24.8
180,2022-05-18,24.0
181,2022-05-19,25.75
182,2022-05-20,25.66666667
183,2022-05-21,27.5
184,2022-05-22,24.33333333
185,2022-05-23,20.0
186,2022-05-24,24.0
187,2022-05-25,25.5
188,2022-05-27,24.0
189,2022-05-28,25.0
190,2022-05-29,25.0
191,2022-05-30,19.5
192,2022-05-31,20.0
193,2022-06-01,23.8125
194,2022-06-02,32.25
195,2022-06-03,28.81818182
196,2022-06-04,27.0
197,2022-06-05,29.23076923
198,2022-07-01,25.44444444
199,2022-07-02,27.07692308
200,2022-07-03,28.72222222
201,2022-07-04,28.06666667
202,2022-07-05,31.0
203,2022-08-01,22.75
204,2022-08-02,28.26666667
205,2022-08-03,30.0625
206,2022-08-04,26.93333333
207,2022-08-05,27.5
208,2022-09-01,26.90909091
209,2022-09-02,25.41666667
210,2022-09-03,26.58333333
211,2022-09-04,25.38461538
212,2022-09-05,29.54545455
213,2022-10-01,28.4
214,2022-10-02,28.28571429
215,2022-10-03,28.52941176
216,2022-10-04,28.09090909
217,2022-10-05,29.28571429
218,2022-11-01,26.8125
219,2022-11-02,25.30769231
220,2022-11-03,28.58823529
221,2022-11-04,28.53333333
222,2022-11-05,24.375
223,2022-12-01,26.25
224,2022-12-02,22.6
225,2022-12-03,25.92857143
226,2022-12-04,26.5
227,2022-12-05,28.6875
